"Abid"
"nigger rigging"
"slave"
"Alligator bait / Gator bait"
"Ape"
"Aunt Jemima/Aunt Jane/Aunt Mary/Aunt Sally "
"Bamboula"
"Bounty bar"
"Brillo Pad"
"Burr head "
"Choc-ice"
"coon"
"Czarnuch(m.)"
"darkie"
"8ball"
"Groid"
"Jungle bunny "
"kaffer"
"Kalia"
"Kalu"
"Kallu "
"Kalar"
"Mayate"
"Moolinyan"
"oreo"
"Quashie"
"Sheboon"
"shine"
"Smoked"
"sooty"
"Spade"
"Spook"
"Tar-Baby "
"tea pot"
"Thicklips"
"tod"
"Uncle Tom"
"Black"
